date,N_used,p1,deff,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,top5,cluster_count,largest_share,entropy,turnover_pair_frac,p1_shuffle,deff_shuffle,structure_score,p1_bootstrap,deff_bootstrap,structure_score_bootstrap,eigvec_overlap_1d,eigvec_instability_1d,insufficient_universe
2020-08-03,470,0.5578997221925763,3.127894250164841,262.212869430511,32.10624235205106,14.080876463816004,11.7217917276642,9.3971010083423,8.181226936271173,6.737664148962525,6.240878773403136,5.7620327401084275,5.328513098625949,0.7011040020901795,43,0.7787234042553192,1.204302843406926,0.04415007031710747,0.018615659283033367,94.81927140368143,92.23066121642613,0.02363445068955354,85.78221561969832,83.1885866410365,0.9999166264844176,8.33735155824078e-05,False
2020-08-04,470,0.557550397458344,3.1318137534814072,262.04868680542154,32.07728824382865,14.061020739398781,11.70290596702715,9.394873411699258,8.177128158968685,6.731590303124897,6.247638839177192,5.772915330387484,5.3214386416509365,0.7006059046114373,41,0.7936170212765957,1.1240823856303799,0.027518940253141586,,,,,,,,,False
2020-08-05,470,0.5568587269732457,3.1392181589615484,261.72360167742545,32.149280592595815,14.04940660345215,11.687148994452299,9.397081125164192,8.166749812472503,6.726743760308859,6.239152215564694,5.762015834209257,5.313595860459441,0.7000138701980637,42,0.7936170212765957,1.1347292457046603,0.0072766864764324275,,,,,,,,,False
2020-08-06,470,0.5559347031194651,3.149632305494465,261.28931046614866,32.07974164970475,14.037002896008815,11.676873501585948,9.381816050060984,8.133696830336536,6.693912878519964,6.225950134773475,5.744699491478009,5.314752442682872,0.6988611586457639,41,0.8042553191489362,1.0827846781621346,0.0376264573787597,,,,,,,,,False
2020-08-07,470,0.555124023490039,3.1584332658576564,260.9082910403182,32.04559020257332,14.234196845109057,11.649360406856172,9.389997341940248,8.169955859665045,6.709643469397833,6.227142248463522,5.737467964399387,5.315663537471276,0.6983562464612705,42,0.8319148936170213,1.0114449926973077,0.1400535317334301,,,,,,,,,False
2020-08-10,470,0.5545270811960725,3.164556989059425,260.62772816215386,32.16731060032853,14.343865044332428,11.658338022608309,9.383626914396483,8.177298451568667,6.676566187221067,6.220313856232759,5.731719781288873,5.3129265476560725,0.6982571675400423,41,0.8382978723404255,0.9794606803769511,0.15899832146259585,0.0190355378589439,94.47632478506821,91.84725933934592,0.02361681689381739,85.50324635356743,82.86959962881026,0.9999467040206672,5.329597933279029e-05,False
2020-08-11,470,0.5544294746355359,3.165328486938118,260.581853078702,32.257535227852976,14.3824818036871,11.648745193823027,9.385749744472335,8.185702014959006,6.668491720587916,6.211329559029472,5.754718886470108,5.299364891936634,0.6984177979756114,43,0.8361702127659575,1.0025252351024,0.14614163226421087,,,,,,,,,False
2020-08-12,470,0.5546538051916405,3.162643023482457,260.6872884400711,32.3374519038078,14.395668349971835,11.642272563081928,9.385430418850568,8.197577796599049,6.627904170116601,6.2027809105494045,5.7575840517258055,5.261444624427229,0.698825769522943,43,0.8446808510638298,0.9678402926865038,0.147729437916799,,,,,,,,,False
2020-08-13,470,0.5536345364817273,3.173486683901763,260.20823214641183,32.462139268725124,14.45925918291055,11.58817342997621,9.405172085595094,8.232730059668945,6.6343802872535145,6.175696701986325,5.774712032437927,5.286863546084575,0.6981339917311039,42,0.776595744680851,1.1775978106458678,0.06478247062559543,,,,,,,,,False
2020-08-14,470,0.552099111152503,3.189675715839544,259.4865822416764,32.64054287166584,14.62130252996852,11.61008408016469,9.47390617232464,8.289169093172141,6.6679535781074435,6.199869196121226,5.805936874408193,5.306968651926951,0.6975157827570215,43,0.7872340425531915,1.1435223180894634,0.16690105702490587,,,,,,,,,False
2020-08-17,470,0.5523629597596874,3.1865675329464858,259.6105910870531,32.6454320729125,14.665858299845901,11.638126452162432,9.496869946763702,8.312957960674424,6.669827940055536,6.20692835782082,5.805686972846611,5.322298653900374,0.6979933571462503,41,0.7723404255319148,1.1744400114172617,0.1954815587714921,0.018627656848716968,95.2465176468222,92.59368541678668,0.02455437060392766,85.86478972291417,83.20603077912344,0.9999465070171099,5.349298289014648e-05,False
2020-08-18,470,0.5501602187356833,3.2102095537138626,258.5753028057711,32.8289769069783,14.845606614656916,11.736067722096639,9.575064863012845,8.378239552121865,6.73428994485101,6.24982480155483,5.843781293709279,5.371902442968047,0.6969383381117358,41,0.7829787234042553,1.13858927464709,0.15396270925010208,,,,,,,,,False
2020-08-19,470,0.551090255146033,3.2001620972911704,259.01241991863554,32.69421314041824,14.85030113580279,11.696149598943425,9.579750337638465,8.38238919110751,6.759254065369164,6.242829036529691,5.829582532818156,5.362475447527435,0.6975166683647626,40,0.8595744680851064,0.8821480800771055,0.06804881368234814,,,,,,,,,False
2020-08-20,470,0.5497441702231332,3.2155689094792086,258.37976000487254,32.42892010870948,15.017364008763394,11.816536703475379,9.651266659510817,8.41471152691664,6.810325688547072,6.290290024636629,5.8777613033127105,5.395374813054526,0.696369888266663,40,0.851063829787234,0.9176199299955612,0.18156330807966248,,,,,,,,,False
2020-08-21,470,0.5495869915621123,3.217046877053901,258.3058860341929,32.50826794109467,15.073623096367136,11.801280971647007,9.64795469212564,8.42808208317906,6.82541428287468,6.260014331163952,5.845149573244927,5.390790787960971,0.6964617292243132,40,0.8489361702127659,0.9277068936671826,0.16866125300548926,,,,,,,,,False
2020-08-24,470,0.5481437464020384,3.2336904959745785,257.62756080895815,32.232695441446104,15.28780450730391,11.863294819369042,9.731168124044707,8.53074481103572,6.856976306966795,6.303842958053831,5.885800740893323,5.40921196645621,0.6951968589385571,41,0.8531914893617021,0.9179655168059158,0.18934809236492312,0.017987021726858152,95.04391743766685,92.34038366636744,0.02354756316214984,84.89285690462117,82.18376259188648,0.9999059373093765,9.40626906235087e-05,False
2020-08-25,470,0.5471158461529475,3.244619862918927,257.1444476918854,32.40651111924801,15.391068797107835,11.920054833831049,9.747328678260164,8.581931666585973,6.885444086904213,6.3158544125898075,5.886033873365004,5.444669240506547,0.6949136406815583,44,0.8340425531914893,1.0258528358999042,0.15706573515401714,,,,,,,,,False
2020-08-26,470,0.5465730367971056,3.2505076050534183,256.88932729463966,32.513481116182874,15.38553470713423,11.886337909325565,9.748348841992673,8.580989816963537,6.93956560159786,6.351562087093271,5.849548406164428,5.465367627159311,0.6945170848282446,42,0.8553191489361702,0.9139760434678558,0.02920655083246382,,,,,,,,,False
2020-08-27,470,0.5348228802148247,3.383739540296239,251.36675370096765,34.078960497030224,16.146536197086107,11.205927339689946,9.899218705502125,8.608241796357223,7.257919386546049,6.668714564601918,5.780447006298234,5.047392359700582,0.6865902051920767,49,0.7489361702127659,1.3818548000144613,0.17989384385065554,,,,,,,,,False
2020-08-28,470,0.5333175492059292,3.400182321800257,250.6592481267868,34.48047468201324,16.356952843714083,11.317320699231754,9.84774174787955,8.628227818685065,7.348605191685081,6.758530072501128,5.7910713194706105,5.093630798021517,0.6865143363821815,50,0.723404255319149,1.4550537733283375,0.21579639794946243,,,,,,,,,False
2020-08-31,470,0.5274773759776387,3.468828591103908,247.91436670949014,35.23459275245787,16.680163265529984,11.47746021964091,10.055504674918396,8.797250805825069,7.485804738556769,6.885389768753281,5.88931217345568,5.184982243412181,0.6837491226000794,48,0.7404255319148936,1.413500874864878,0.20169668375447988,0.01849967944180196,95.46326460593565,92.50341371136757,0.023696011606993354,86.74726758337667,83.78222035664339,0.999565955507731,0.00043404449226902564,False
2020-09-01,470,0.503081662655247,3.781740733765803,236.44838144796609,37.6688924019077,17.828238027238697,11.900960543612808,10.871463020210891,9.39602544925222,8.124167102739733,7.39046363453264,5.614047266361577,5.119308012520133,0.6696126285977365,58,0.7787234042553192,1.356271995034952,0.10907771174522524,,,,,,,,,False
2020-09-02,470,0.4930223866250253,3.9222017342156965,231.72052171376185,38.71748761069472,18.721216192629868,11.863031838696687,10.45940059885937,9.814504772313805,8.135898243485933,7.44361385778302,5.5516068666873055,5.313895149088053,0.6627269318183884,59,0.6787234042553192,1.69783487656106,0.26975457061198566,,,,,,,,,False
2020-09-03,470,0.44956154803282494,4.619942321433239,211.2939275754277,43.17108663257285,20.89453410707116,12.092211090264923,11.786648279993349,9.966905073519236,8.45570595575391,7.4110667258562755,6.139871947094093,5.595972767386237,0.6366774631602766,65,0.42127659574468085,2.1935903666211005,0.41040693190582045,,,,,,,,,False
