id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2021-04-12;11097.37179167
S;Sul;2021-04-12;12970.52150000
SE;Sudeste/Centro-Oeste;2021-04-12;41020.43775000
N;Norte;2021-04-13;6410.59895833
NE;Nordeste;2021-04-13;11518.18162500
S;Sul;2021-04-13;13201.19412500
SE;Sudeste/Centro-Oeste;2021-04-13;41158.38679167
N;Norte;2021-04-14;6334.82087500
NE;Nordeste;2021-04-14;11639.34383333
S;Sul;2021-04-14;13092.13879167
SE;Sudeste/Centro-Oeste;2021-04-14;40403.31437500
N;Norte;2021-04-15;6183.63675000
NE;Nordeste;2021-04-15;11363.16491667
S;Sul;2021-04-15;13114.68350000
SE;Sudeste/Centro-Oeste;2021-04-15;40535.27879167
N;Norte;2021-04-16;6161.15300000
NE;Nordeste;2021-04-16;11093.08325000
S;Sul;2021-04-16;13263.53820833
SE;Sudeste/Centro-Oeste;2021-04-16;40732.16650000
N;Norte;2021-04-17;6029.39220833
NE;Nordeste;2021-04-17;10829.20325000
S;Sul;2021-04-17;11479.32133333
SE;Sudeste/Centro-Oeste;2021-04-17;37774.05879167
N;Norte;2021-04-18;5482.74354167
NE;Nordeste;2021-04-18;10138.70633333
S;Sul;2021-04-18;9831.17033238
SE;Sudeste/Centro-Oeste;2021-04-18;34628.40266667
N;Norte;2021-04-19;5946.80025000
NE;Nordeste;2021-04-19;11408.48958333
S;Sul;2021-04-19;12324.40383333
SE;Sudeste/Centro-Oeste;2021-04-19;39224.48545833
N;Norte;2021-04-20;6012.34845833
NE;Nordeste;2021-04-20;11580.25962500
S;Sul;2021-04-20;12668.64029167
SE;Sudeste/Centro-Oeste;2021-04-20;39145.94225000
N;Norte;2021-04-21;5911.48866667
NE;Nordeste;2021-04-21;11163.83595833
S;Sul;2021-04-21;11469.15454167
SE;Sudeste/Centro-Oeste;2021-04-21;36923.67662500
N;Norte;2021-04-22;6168.46495833
NE;Nordeste;2021-04-22;11870.78670833
S;Sul;2021-04-22;12370.09554167
SE;Sudeste/Centro-Oeste;2021-04-22;38642.17545833
N;Norte;2021-04-23;6142.19720833
NE;Nordeste;2021-04-23;11569.63570833
S;Sul;2021-04-23;12343.98495833
SE;Sudeste/Centro-Oeste;2021-04-23;38679.03575000
N;Norte;2021-04-24;5908.99029167
NE;Nordeste;2021-04-24;10817.38425000
S;Sul;2021-04-24;10954.15433333
SE;Sudeste/Centro-Oeste;2021-04-24;36767.54375000
N;Norte;2021-04-25;5551.31720833
NE;Nordeste;2021-04-25;10258.74441667
S;Sul;2021-04-25;9565.05870833
SE;Sudeste/Centro-Oeste;2021-04-25;34038.73420833
N;Norte;2021-04-26;5939.14350000
NE;Nordeste;2021-04-26;11278.41600000
S;Sul;2021-04-26;12087.93020833
SE;Sudeste/Centro-Oeste;2021-04-26;39661.51150000
N;Norte;2021-04-27;6029.77333333
NE;Nordeste;2021-04-27;11580.12129167
S;Sul;2021-04-27;12365.78441667
SE;Sudeste/Centro-Oeste;2021-04-27;40292.86966667
N;Norte;2021-04-28;6052.16825000
NE;Nordeste;2021-04-28;11371.13837500
S;Sul;2021-04-28;12401.53495833
SE;Sudeste/Centro-Oeste;2021-04-28;40189.42887500
N;Norte;2021-04-29;6065.01258333
NE;Nordeste;2021-04-29;11204.79020833
S;Sul;2021-04-29;12466.61841667
SE;Sudeste/Centro-Oeste;2021-04-29;39595.59420833
N;Norte;2021-04-30;5960.44283333
NE;Nordeste;2021-04-30;10951.36491667
S;Sul;2021-04-30;12292.77900000
SE;Sudeste/Centro-Oeste;2021-04-30;38913.43900000
N;Norte;2021-05-01;5460.80758333
NE;Nordeste;2021-05-01;9728.02875000
S;Sul;2021-05-01;9851.63504167
SE;Sudeste/Centro-Oeste;2021-05-01;34496.86900000
N;Norte;2021-05-02;5442.87462500
NE;Nordeste;2021-05-02;9596.09487500
S;Sul;2021-05-02;9454.43641667
SE;Sudeste/Centro-Oeste;2021-05-02;32848.66645833
N;Norte;2021-05-03;5913.71887500
NE;Nordeste;2021-05-03;10697.56679167
S;Sul;2021-05-03;12605.36666667
SE;Sudeste/Centro-Oeste;2021-05-03;38319.78737500
N;Norte;2021-05-04;5890.14366667
NE;Nordeste;2021-05-04;10977.44004167
S;Sul;2021-05-04;13092.10450000
SE;Sudeste/Centro-Oeste;2021-05-04;39716.83920833
N;Norte;2021-05-05;6005.92595833
NE;Nordeste;2021-05-05;11055.37787500
S;Sul;2021-05-05;13013.68370833
SE;Sudeste/Centro-Oeste;2021-05-05;40326.43829167
N;Norte;2021-05-06;5911.81733333
NE;Nordeste;2021-05-06;11112.07037500
S;Sul;2021-05-06;12705.45920833
SE;Sudeste/Centro-Oeste;2021-05-06;40697.44479167
N;Norte;2021-05-07;6075.50812500
NE;Nordeste;2021-05-07;11272.38725000
S;Sul;2021-05-07;11975.07504167
SE;Sudeste/Centro-Oeste;2021-05-07;39822.28387500
N;Norte;2021-05-08;5829.14029167
NE;Nordeste;2021-05-08;10737.29091667
S;Sul;2021-05-08;10402.25150000
SE;Sudeste/Centro-Oeste;2021-05-08;36520.13575000
N;Norte;2021-05-09;5393.43841667
NE;Nordeste;2021-05-09;9921.95366667
S;Sul;2021-05-09;8915.12475000
SE;Sudeste/Centro-Oeste;2021-05-09;32662.06708333
N;Norte;2021-05-10;5963.18162500
NE;Nordeste;2021-05-10;10868.03254167
S;Sul;2021-05-10;11940.63679167
SE;Sudeste/Centro-Oeste;2021-05-10;38418.24745833
N;Norte;2021-05-11;6104.27775000
NE;Nordeste;2021-05-11;11004.13950000
S;Sul;2021-05-11;12540.81487500
SE;Sudeste/Centro-Oeste;2021-05-11;39367.38437500
N;Norte;2021-05-12;6151.44162500
NE;Nordeste;2021-05-12;11027.74600000
S;Sul;2021-05-12;12326.50929167
SE;Sudeste/Centro-Oeste;2021-05-12;39862.03558333
N;Norte;2021-05-13;6194.53670833
NE;Nordeste;2021-05-13;10929.59470833
S;Sul;2021-05-13;12193.14662500
SE;Sudeste/Centro-Oeste;2021-05-13;39306.97591667
N;Norte;2021-05-14;6162.84108333
NE;Nordeste;2021-05-14;10718.32983333
S;Sul;2021-05-14;12184.94466667
SE;Sudeste/Centro-Oeste;2021-05-14;39327.83350000
N;Norte;2021-05-15;5916.55066667
