id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2022-03-25;51691.22656250;47711.71484375;92.30139923
N;NORTE;2022-03-25;15302.39648438;14962.02636719;97.77570343
SE;SUDESTE;2022-03-25;204615.32812500;128054.24218750;62.58290100
S;SUL;2022-03-25;19657.33007813;7990.64013672;40.64970016
NE;NORDESTE;2022-03-26;51691.22656250;48047.43359375;92.95079803
N;NORTE;2022-03-26;15302.39648438;14978.19824219;97.88140106
SE;SUDESTE;2022-03-26;204615.32812500;128473.53906250;62.78779984
S;SUL;2022-03-26;19657.33007813;8334.30566406;42.39799881
NE;NORDESTE;2022-03-27;51691.22656250;48433.86718750;93.69840240
N;NORTE;2022-03-27;15302.39648438;15010.77148438;98.09429932
SE;SUDESTE;2022-03-27;204615.32812500;128908.78906250;63.00059891
S;SUL;2022-03-27;19657.33007813;8589.43652344;43.69580078
NE;NORDESTE;2022-03-28;51691.22656250;48781.92187500;94.37180328
N;NORTE;2022-03-28;15302.39648438;15042.50390625;98.30159760
SE;SUDESTE;2022-03-28;204615.32812500;129215.61718750;63.15050125
S;SUL;2022-03-28;19657.33007813;8731.15917969;44.41680145
NE;NORDESTE;2022-03-29;51691.22656250;49033.87500000;94.85919952
N;NORTE;2022-03-29;15302.39648438;15082.24414063;98.56130219
SE;SUDESTE;2022-03-29;204615.32812500;129486.76562500;63.28300095
S;SUL;2022-03-29;19657.33007813;8813.45312500;44.83549881
NE;NORDESTE;2022-03-30;51691.22656250;49277.50390625;95.33049774
N;NORTE;2022-03-30;15302.39648438;15089.69921875;98.61000061
SE;SUDESTE;2022-03-30;204615.32812500;129796.94531250;63.43460083
S;SUL;2022-03-30;19657.33007813;8885.55078125;45.20220184
NE;NORDESTE;2022-03-31;51691.22656250;49438.33984375;95.64160156
N;NORTE;2022-03-31;15302.39648438;15107.20898438;98.72450256
SE;SUDESTE;2022-03-31;204615.32812500;130131.37500000;63.59809875
S;SUL;2022-03-31;19657.33007813;8946.65234375;45.51309967
NE;NORDESTE;2022-04-01;51691.22656250;49508.00000000;95.77639771
N;NORTE;2022-04-01;15302.39648438;15105.63183594;98.71420288
SE;SUDESTE;2022-04-01;204615.32812500;130425.29687500;63.74169922
S;SUL;2022-04-01;19657.33007813;8984.62109375;45.70619965
NE;NORDESTE;2022-04-02;51691.22656250;49661.87890625;96.07409668
N;NORTE;2022-04-02;15302.39648438;15111.49609375;98.75250244
SE;SUDESTE;2022-04-02;204615.32812500;130942.81250000;63.99459839
S;SUL;2022-04-02;19657.33007813;9059.25488281;46.08589935
NE;NORDESTE;2022-04-03;51691.22656250;49715.67968750;96.17819977
N;NORTE;2022-04-03;15302.39648438;15109.88183594;98.74189758
SE;SUDESTE;2022-04-03;204615.32812500;131524.06250000;64.27870178
S;SUL;2022-04-03;19657.33007813;9142.88476563;46.51129913
NE;NORDESTE;2022-04-04;51691.22656250;49848.33593750;96.43479919
N;NORTE;2022-04-04;15302.39648438;15086.33007813;98.58799744
SE;SUDESTE;2022-04-04;204615.32812500;131759.90625000;64.39399719
S;SUL;2022-04-04;19657.33007813;9255.93652344;47.08639908
NE;NORDESTE;2022-04-05;51691.22656250;49963.50781250;96.65760040
N;NORTE;2022-04-05;15302.39648438;15054.34179688;98.37899780
SE;SUDESTE;2022-04-05;204615.32812500;132027.78125000;64.52490234
S;SUL;2022-04-05;19657.33007813;9386.67285156;47.75149918
NE;NORDESTE;2022-04-06;51691.22656250;50070.89453125;96.86540222
N;NORTE;2022-04-06;15302.39648438;15027.88476563;98.20610046
SE;SUDESTE;2022-04-06;204615.32812500;132298.64062500;64.65720367
S;SUL;2022-04-06;19657.33007813;9492.83593750;48.29159927
NE;NORDESTE;2022-04-07;51691.22656250;50121.39453125;96.96309662
N;NORTE;2022-04-07;15302.39648438;15031.61914063;98.23049927
SE;SUDESTE;2022-04-07;204615.32812500;132495.34375000;64.75340271
S;SUL;2022-04-07;19657.33007813;9574.37890625;48.70640182
